Title,Alternative Title,Creator,Image,Weblog,Description,Subject,Date,Type,Format,Source,Language,Contributor,Annotates,Access Rights
"Vida, historia, unidad y raza",,paint on linen / pintura sobre lino,https://nationalmuseumofmexicanart.org/img/c6137838-8031-48de-b564-acbfa8297167/1999.271_web.png,https://nationalmuseumofmexicanart.org/artworks/vida-historia-unidad-y-raza,"Life, History, Unity and Race",,,"22 1/2"" x 34 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Veterans Plaza Mexican Fine Arts Center,,watercolor and pencil on paper / acuarela y lápiz sobre papel,https://nationalmuseumofmexicanart.org/img/29dda9ff-f1c2-4581-8f83-67ff5f16dad1/2000.120_web.png,https://nationalmuseumofmexicanart.org/artworks/veterans-plaza-mexican-fine-arts-center,Plaza de Veteranos del Centro Mexicano de Bellas Artes (dibujo preliminar con arboles  ciprés),,,"21"" x 51""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled,,"colored pencil, ink and correction fluid / lápices de color, tinta y líquido corrector",https://nationalmuseumofmexicanart.org/img/b64fb726-9ba8-4426-9bc9-79e38698e6ad/2000.127_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-384,"Sin título ( arco del MFACM, familia y  estación de tren)",,,"15"" x 53""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
El visionario II,,glass and mixed media / vidrio y técnica mixta,https://nationalmuseumofmexicanart.org/img/3b2e907c-f292-45b4-92b7-b5ebe1ad2ae4/2002.185_front_web.png,https://nationalmuseumofmexicanart.org/artworks/el-visionario-ii,The Visionary II,,,"27"" x 12 1/2"" x 9""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Entre dos mundos (de la carpeta Bajo un mismo cielo),,"linocut, AP 3/5 / grabado en linóleo, PA 3/5",https://nationalmuseumofmexicanart.org/img/40fe7c8a-67e4-4d92-95b7-3365825673e4/2003.350E_web.png,https://nationalmuseumofmexicanart.org/artworks/entre-dos-mundos-de-la-carpeta-bajo-un-mismo-cielo,"Between Two Worlds ( from ""Under the Same Sky"" portfolio)",,,"21"" x 15 3/4"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Pepper Plant,,polychrome wood / madera policromada,https://nationalmuseumofmexicanart.org/img/5f43a611-9a0e-4a9c-8e9a-446e8ac6e18b/2003.365_front_web.png,https://nationalmuseumofmexicanart.org/artworks/pepper-plant,Planta de chile,,,"29"" x 14"" x 16""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Laura Berenice,,acrylic on canvas and mixed media / acrílico sobre lienzo y técnica mixta,https://nationalmuseumofmexicanart.org/img/180025e4-4cfa-4388-99c1-17b377c7ed4b/2004.125_web.png,https://nationalmuseumofmexicanart.org/artworks/laura-berenice,Laura Berenice,,,"33 5/8"" x 25 7/8"" x 2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
The Garden of Earthly Delights,,customized tractor lawn mower / cortadora de césped personalizada,https://nationalmuseumofmexicanart.org/img/bc9d6a1e-98df-4d61-b65e-480316c69489/2005.1_web.png,https://nationalmuseumofmexicanart.org/artworks/the-garden-of-earthly-delights,El jardín de las delicias,,,"43"" x 93"" x 37"" (unopened)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled,,acrylic on canvas with attached paper calendar / acrílico sobre lienzo con calendario de papel adjunto,https://nationalmuseumofmexicanart.org/img/82647503-309f-4dc1-bb1b-ed5580b12806/2005.45_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-482,Sin título (celda de cárcel),,,"53 3/4"" x 33 3/8""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Sobre Carlos,,acrylic on canvas / acrílico sobre lienzo,https://nationalmuseumofmexicanart.org/img/119a3f2c-43f3-44d5-a55a-1f6db4ea3fc8/2005.126_web.png,https://nationalmuseumofmexicanart.org/artworks/sobre-carlos,Following Carlos (or Upon Carlos),,,"16"" x 20"" x 1 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled,,"polychrome ceramic, wood and mixed media / cerámica policromada, madera y técnica mixta",https://nationalmuseumofmexicanart.org/img/89f500cf-8f2e-4483-b084-fe271e78966b/2003.607_front_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-484,Sin título (crucifijo de miembro de pandilla),,,"46 1/2"" x 23 3/4"" x 6 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled,,hubcap and mixed media / llanta tapacubos y técnica mixta,https://nationalmuseumofmexicanart.org/img/19c4cacf-12e2-4e7e-92b7-fa435ef109b3/2003.612_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-485,Sin título (milagro en forma de corazón),,,"15 1/2"" (diam.) x 7 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"Quien soy, soy quien",,oil on canvas / óleo sobre lienzo,https://nationalmuseumofmexicanart.org/img/a98cffa6-bceb-4c2a-9630-b99a3614ba7c/2007.23_web.png,https://nationalmuseumofmexicanart.org/artworks/quien-soy-soy-quien,"Who Am I, I Am Who",,,"72"" x 72""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Destiny: The Founding of Tenochtitlan (from The Omen Series),,inkjet print / impresión inkjet,https://nationalmuseumofmexicanart.org/img/b2bdca24-18d8-4799-aaa7-76989884f863/2007.222_web.png,https://nationalmuseumofmexicanart.org/artworks/destiny-the-founding-of-tenochtitlan-from-the-omen-series,"Destino: La fundación de Tenochtitlán (del proyecto llamado, de las series Augurio)",,,"11 1/4"" x 16 1/2"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Zarmina,,"colored pencil, thread and amate paper / lápiz de color, hilo y papel amate.",https://nationalmuseumofmexicanart.org/img/857900f6-c6d8-4462-9e2b-f6588a301461/2007.224_web.png,https://nationalmuseumofmexicanart.org/artworks/zarmina,Zarmina,,,"11 1/2"" x 9 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"Jugando a las guerritas, versión tres",,ink and color pencil / tinta y lápices de color,https://nationalmuseumofmexicanart.org/img/c6d91e8d-632e-4012-a694-1a374d78f228/2008.273.png,https://nationalmuseumofmexicanart.org/artworks/jugando-a-las-guerritas-versión-tres,"Playing War, Version Three",,,"23 3/4"" x 19"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Alacrán (from the La Loteria - A Children's Game portfolio),,"linocut, 21/30 / grabado en linóleo, 21/30",https://nationalmuseumofmexicanart.org/img/9746fc71-8c00-49b6-a86c-dc4488f69b8b/2005.269.D_web.png,https://nationalmuseumofmexicanart.org/artworks/alacrán-from-the-la-loteria-a-childrens-game-portfolio,"Scorpion (de la carpeta ""La Loteria - Un juego de niños"")",,,"19 7/8"" x 12 7/8"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Untitled (collage of 14 fraudulent Mexican stamps),,generated laser prints / impresiones generadas por laser,https://nationalmuseumofmexicanart.org/img/2a9661b3-f31d-465d-9a74-cde7e851796b/2010.65A-J_web.png,https://nationalmuseumofmexicanart.org/artworks/untitled-collage-of-14-fraudulent-mexican-stamps,Sin título (collage de 14 estampillas mexicanas falsas),,,"18 1/4"" x 13 1/4"" (framed)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Marranos,,ceramic and mixed media / cerámica y técnica mixta,https://nationalmuseumofmexicanart.org/img/72fb7413-2945-4423-95f5-8aaec1874e3b/2011.44_front_web.png,https://nationalmuseumofmexicanart.org/artworks/marranos,Pigs,,,"35"" x 21"" x 16 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Los angelitos,,acrylic on canvas / acrílico sobre lienzo,https://nationalmuseumofmexicanart.org/img/5ee162cf-504b-4905-a930-db47ed977441/2011.55_web.png,https://nationalmuseumofmexicanart.org/artworks/los-angelitos,Little Angels,,,"20 3/4"" x 16 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Rings of Life,,oil on canvas / óleo sobre lienzo,https://nationalmuseumofmexicanart.org/img/6b0a46c6-7332-4a96-b90d-5d565d9f0fd2/2011.57_web.png,https://nationalmuseumofmexicanart.org/artworks/rings-of-life,Los círculos de la vida,,,"77"" x 49""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
El Copycat,,acrylic on canvas / acrílico sobre lienzo,https://nationalmuseumofmexicanart.org/img/3011f989-300c-429d-bcf8-bb4b63bae610/2011.151_web.png,https://nationalmuseumofmexicanart.org/artworks/el-copycat,The copión,,,"47 7/8"" x 69 3/4""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Earache Treatment / Ventosa,,"Epson gicleé digital print, 12/180 / impresión digital gicleé Epson, 12/180",https://nationalmuseumofmexicanart.org/img/37f382e1-2a28-49ee-b2fc-db1d2fc3b5e1/2011.156_web.png,https://nationalmuseumofmexicanart.org/artworks/earache-treatment-ventosa,Tratamiento para el dolor de oido / Vent,,,"21"" x 18 1/8"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"Coronado Space Complex at New York, Mars",,oil on linen / óleo sobre lino,https://nationalmuseumofmexicanart.org/img/bd3d4af1-605c-46a6-b1c4-8c11c90bd808/2012.11_web.png,https://nationalmuseumofmexicanart.org/artworks/coronado-space-complex-at-new-york-mars,"Complejo espacial Coronado en Nueva York, Marte",,,"42 1/4"" x 50""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
La Virgen y las carpas  (in the Train Yard),,oil and enamel on corrugated aluminum panel / óleo y esmalte sobre panel de aluminio corrugado,https://nationalmuseumofmexicanart.org/img/89cfd1df-4d1a-465f-98fc-cd13dd411c16/2012.26_web.png,https://nationalmuseumofmexicanart.org/artworks/la-virgen-y-las-carpas-in-the-train-yard,The Virgin and the Tents (en la estación de traspatio),,,"48"" x 36""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Carlos Cortéz,,"linocut, N.N / grabado en linóleo, S.N.",https://nationalmuseumofmexicanart.org,https://nationalmuseumofmexicanart.org/artworks/carlos-cortz,Carlos Cortez,,,"18 5/8"" x 18"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Boney Ridge (California Horizons Series),,oil on canvas / óleo sobre lienzo,https://nationalmuseumofmexicanart.org/img/63b13c89-eda8-4e78-89c2-ee769a3bb1c5/2012.117_web.png,https://nationalmuseumofmexicanart.org/artworks/boney-ridge-california-horizons-series,Boney Ridge (de la serie Horizontes de California),,,"72 1/4"" x 18""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Little Champ (from the Game Piece Portraits Series),,oil on canvas / óleo sobre lienzo,https://nationalmuseumofmexicanart.org/img/a083ba54-7047-460c-b8a5-7f1eae343775/2012.168_web.png,https://nationalmuseumofmexicanart.org/artworks/little-champ-from-the-game-piece-portraits-series,"Pequeño campeón (de la serie ""Retratos de piezas de juego"")",,,"60"" x 36""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Coatlicue - The Cycle of Life and Death,,acrylic and mixed media on canvas / acrílico y técnica mixta sobre lienzo,https://nationalmuseumofmexicanart.org/img/36169b94-302b-4e98-9ca1-29c23d9c67c3/2012.181_web.png,https://nationalmuseumofmexicanart.org/artworks/coatlicue-the-cycle-of-life-and-death,Coatlicue - El cíclo de la vida y la muerte,,,"36"" x 36""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
"When the Opportunist Is King, Women Are a Commodity",,acrylic on linen / acrílico sobre lino,https://nationalmuseumofmexicanart.org/img/b6b854ac-349e-4f1e-8a8a-cfd01eca0679/2012.193_web.png,https://nationalmuseumofmexicanart.org/artworks/when-the-opportunist-is-king-women-are-a-commodity,"Cuando el oportunista es rey, la mujer es una comodidad",,,"52 3/4"" x 67 1/2""",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
Christmas in L.A.,,"serigraph, 22/96 / serigrafía, 22/96",https://nationalmuseumofmexicanart.org/img/868eb72a-9597-4124-a7e2-49f43aefa880/2012.269_web.png,https://nationalmuseumofmexicanart.org/artworks/christmas-in-la,Navidad en Los Ángeles,,,"14"" x 25 1/4"" (paper size)",,,,National Museum of Mexican Art (NMMA),,"Image is displayed for education and personal research only. For individual rights information about an item, please check the “Description” field, or follow the link to the digital object on the content provider’s website for more information. Reuse of copyright-protected images requires signed permission from the copyright holder. If you are the copyright holder of this item and its use online constitutes an infringement of your copyright, please contact us by email at rhizomes@umn.edu to discuss its removal from the portal."
